1634,692,15,0
1614,1090,30,1
1303,447,30,0
606,836,14,1
1438,692,35,0
660,524,14,1
459,852,18,0
508,938,10,1
1593,930,28,0
647,594,25,0
647,401,20,1
268,1136,37,0
1380,377,25,1
569,717,20,0
549,995,16,0
619,647,15,0
533,758,30,0
1597,1471,10,0
393,893,20,0
479,918,7,0
1577,746,18,0
725,479,17,0
553,1139,15,0
533,1118,15,1
451,1339,28,1
492,680,20,1
455,692,21,0
1499,1085,15,0
643,868,20,0
1430,410,20,1
1409,500,28,0
590,893,10,0
594,713,30,0
451,602,14,1
1548,967,13,0
1618,430,20,1
680,389,20,0
848,303,20,0
451,930,10,0
1530,514,15,0
1634,627,15,0
533,1004,32,0
600,1012,13,1
700,918,10,0
680,266,15,0
1528,381,20,0
410,1393,12,0
516,1147,18,1
483,692,13,1
582,569,20,0
524,586,25,0
836,881,30,0
573,520,18,0
533,746,26,0
1458,397,8,1
553,725,12,0
524,705,12,0
1716,959,15,1
565,377,27,0
1390,1194,28,1
1610,967,14,1
1618,934,15,0
466,812,20,0
1614,1524,10,0
541,1696,23,0
406,741,8,1
1663,864,13,0
728,344,30,1
410,1040,12,0
733,1233,25,1
1499,557,15,0
401,778,15,0
1708,1004,15,0
1503,860,18,0
1643,709,12,1
332,1364,20,0
508,1024,12,0
1638,668,11,1
1589,864,10,1
451,918,10,0
1446,832,21,0
459,950,20,0
1733,1507,18,0
1340,854,60,0
602,688,16,0
582,451,15,0
631,1176,20,1
414,1327,18,0
1540,451,14,1
1421,1106,20,0
508,1380,25,0
1647,864,12,0
758,311,12,0
516,623,10,1
676,455,6,0
430,1016,10,1
1778,1147,20,0
729,406,15,1
524,504,10,0
1606,315,9,1
1692,520,14,1
393,483,5,1
688,238,15,0
504,311,21,0
590,1471,30,0
246,1233,18,0
1688,1159,9,1
737,1475,30,0
504,995,15,0
1606,1065,20,0
381,1311,8,1
1339,1364,17,0
1434,1397,22,0
447,762,20,0
528,1630,23,1
1496,244,18,0
377,1045,12,0
590,348,15,0
401,639,10,1
1733,1380,13,0
508,1126,10,1
1651,836,13,1
1706,1252,15,1
438,1413,15,1
549,528,15,0
1180,1282,20,0
504,1024,11,1
614,1376,20,0
1720,1065,21,0
1335,1163,30,0
1651,942,22,0
627,533,22,0
1360,1593,30,0
893,1405,16,0
627,1057,10,1
940,1062,15,1
410,815,10,1
1508,602,8,1
647,320,12,1
1528,1339,12,0
794,346,10,1
586,643,10,1
766,430,10,0
1480,506,12,1
401,602,10,0
508,537,12,1
537,1356,11,0
1593,1270,18,1
846,1186,28,1
1544,1409,15,0
1520,1364,14,0
1323,1438,10,1
1708,1122,10,0
660,688,8,0
